time,force
29,825.59
29.02,824.61
29.04,822.15
29.06,821.92
29.08,779.92
29.1,829.61
29.12,812.8
29.14,807.45
29.16,808.76
29.18,658.72
29.2,935.08
29.22,827.32
29.24,820.72
29.26,626.44
29.28,1008.99
29.3,806.62
29.32,807.75
29.34,810.54
29.36,461.28
29.38,1079.96
29.4,803.28
29.42,812.9
29.44,798.21
29.46,804.66
29.48,354.68
29.5,1316.65
29.52,805.97
29.54,778.86
29.56,164.39
29.58,1408.73
29.6,881.34
29.62,881.79
29.64,808.33
29.66,147.96
29.68,1388.15
29.7,836.95
29.72,817.88
29.74,834.43
29.76,290.09
29.78,1433.98
29.8,824.69
29.82,823.08
29.84,824.99
29.86,239.84
29.88,1365.37
29.9,798.96
29.92,809.61
29.94,825.21
29.96,193.99
29.98,1494.4
30,1474.48
30.02,-452.81
30.04,1477.94
30.06,832.6
30.08,169.22
30.1,1461.39
30.12,832.6
30.14,839.43
30.16,241.25
30.18,1479.1
30.2,844.94
30.22,836.24
30.24,840.87
30.26,297.6
30.28,1379.54
30.3,862.37
30.32,815.11
30.34,814.54
30.36,295.06
30.38,1314.34
30.4,797.75
30.42,807.73
30.44,804.41
30.46,115.28
30.48,2161.37
30.5,-550.79
30.52,1542.72
30.54,851.87
30.56,237.79
30.58,1438.07
30.6,825.59
30.62,832.05
30.64,830.38
30.66,193.25
30.68,1431.74
30.7,791.36
30.72,783.76
30.74,800.03
30.76,60.5
30.78,1600.01
30.8,838.03
30.82,844.09
30.84,846.69
30.86,163.97
30.88,1520.21
30.9,836.95
30.92,853.1
30.94,850.55
30.96,203.41
30.98,1429.12
31,831.61
31.02,845.85
31.04,849.7
31.06,306.62
31.08,1448.9
31.1,867.08
31.12,855.81
31.14,865.76
31.16,621.09
31.18,1227.17
31.2,882.8
31.22,888.42
31.24,904.73
31.26,1050.57
31.28,811.52
31.3,893.32
31.32,916.15
31.34,901.58
31.36,877.53
31.38,1457.49
31.4,387.85
31.42,911.69
31.44,897.1
31.46,1768.33
31.48,-12.85
31.5,851.45
31.52,838.2
31.54,832.08
31.56,834.33
31.58,1809.68
