Time (seconds),Value
240.68,87.46
240.85,90.5
241.04,90.94
241.23,94.19
241.4,93.95
241.57,89.93
241.74,87.3
241.91,86.73
242.08,87.23
242.26,86.02
242.43,82.83
242.6,81.84
242.76,78.77
242.94,78.79
243.11,79.11
243.29,81.09
243.47,85.4
243.63,84.98
243.8,85.04
243.99,85.2
244.17,84.83
244.33,85.02
244.52,84.97
244.69,84.99
244.86,82.91
245.02,83.62
245.2,82.15
245.37,83.84
245.56,84.84
245.73,82.52
245.89,84.14
246.07,86.68
246.24,85.41
246.41,83.39
246.61,82.19
246.77,88.79
246.96,92.22
247.13,91.45
247.35,90.04
247.53,90.82
247.69,96.56
247.86,93.35
248.05,87.54
248.24,84.74
248.41,84.8
248.6,83.46
248.77,83.3
248.95,82.68
249.16,80.95
249.34,80.4
249.5,79.44
249.68,85.43
249.85,85.98
250.02,85.04
250.19,84.99
250.36,84.86
250.52,84.95
250.7,84.92
250.87,85.09
251.03,85.39
251.2,84.77
251.37,84.42
251.54,82.02
251.72,80.0
251.89,80.17
252.06,83.15
252.27,83.38
252.44,83.0
252.61,84.35
252.8,86.64
252.98,86.78
253.17,87.85
253.35,88.13
253.52,89.2
253.7,88.96
253.9,87.4
254.08,85.06
254.25,85.96
254.43,86.52
254.6,85.21
254.77,83.97
254.99,80.94
255.16,79.52
255.33,80.38
255.51,81.82
255.68,80.95
255.9,85.36
256.11,83.95
256.28,85.31
256.45,84.63
256.63,85.22
256.82,84.71
257.0,85.12
257.2,85.01
257.37,84.72
257.54,85.29
257.72,84.93
257.89,85.31
258.06,84.92
258.24,85.01
258.56,84.87
258.74,85.13
258.92,85.26
259.09,85.2
259.26,84.96
259.43,84.68
259.6,84.46
259.77,84.56
259.93,85.17
260.1,84.93
260.36,85.06
260.53,84.99
260.7,85.06
260.87,84.79
261.04,85.12
261.2,84.85
261.36,84.96
261.54,84.86
261.7,84.44
261.86,84.8
262.03,85.08
262.2,85.84
262.36,85.23
262.53,85.3
262.7,84.74
262.92,85.11
263.1,84.58
263.28,85.16
263.44,84.94
263.6,84.97
263.79,84.67
263.96,85.62
264.14,84.46
264.3,83.88
264.49,85.63
264.68,85.38
264.87,84.5
265.05,85.01
265.22,84.75
265.39,85.14
265.56,84.92
265.74,84.96
266.73,84.93
266.92,85.1
267.09,84.94
267.26,84.64
267.42,84.88
267.59,84.93
267.76,84.71
267.93,85.04
268.11,84.98
268.28,85.12
268.45,85.0
268.62,84.55
